 Produto interno bruto per capita - 2010 a 2013, referência 2010 - Brasil
PIB per capita por Município
Período:2010
"Município";"PIB_per_capita"
"211030 SANTO ANTONIO DOS LOPES";5089,73
"211040 SAO BENEDITO DO RIO PRETO";2685,38
"211050 SAO BENTO";2990,79
"211060 SAO BERNARDO";4692,40
"211065 SAO DOMINGOS DO AZEITAO";13480,99
"211070 SAO DOMINGOS DO MARANHAO";4859,55
"211080 SAO FELIX DE BALSAS";3854,25
"211085 SAO FRANCISCO DO BREJAO";4290,36
"211090 SAO FRANCISCO DO MARANHAO";2621,10
"211100 SAO JOAO BATISTA";2257,99
"211102 SAO JOAO DO CARU";4145,19
"211105 SAO JOAO DO PARAISO";4804,67
"211107 SAO JOAO DO SOTER";2658,75
"211110 SAO JOAO DOS PATOS";4668,96
"211120 SAO JOSE DE RIBAMAR";4624,19
"211125 SAO JOSE DOS BASILIOS";3620,44
"211130 SAO LUIS";18017,61
"211140 SAO LUIS GONZAGA DO MARANHAO";4070,56
"211150 SAO MATEUS DO MARANHAO";3349,23
"211153 SAO PEDRO DA AGUA BRANCA";3907,52
"211157 SAO PEDRO DOS CRENTES";6063,69
"211160 SAO RAIMUNDO DAS MANGABEIRAS";12554,93
"211163 SAO RAIMUNDO DO DOCA BEZERRA";3495,96
"211167 SAO ROBERTO";3483,86
"211170 SAO VICENTE FERRER";3250,25
"211172 SATUBINHA";2367,19
"211174 SENADOR ALEXANDRE COSTA";3328,35
"211176 SENADOR LA ROCQUE";4888,44
"211178 SERRANO DO MARANHAO";2676,18
"211180 SITIO NOVO";3604,01
"211190 SUCUPIRA DO NORTE";3101,74
"211195 SUCUPIRA DO RIACHAO";3585,69
"211200 TASSO FRAGOSO";52523,40
"211210 TIMBIRAS";2488,14
"211220 TIMON";6296,53
"211223 TRIZIDELA DO VALE";4429,27
"211227 TUFILANDIA";3971,30
"211230 TUNTUM";3599,94
"211240 TURIACU";4436,98
"211245 TURILANDIA";3223,56
"211250 TUTOIA";2941,36
"211260 URBANO SANTOS";3099,38
"211270 VARGEM GRANDE";3216,54
"211280 VIANA";3727,75
"211285 VILA NOVA DOS MARTIRIOS";3675,46
"211290 VITORIA DO MEARIM";3541,69
"211300 VITORINO FREIRE";3808,14
"211400 ZE DOCA";4456,53
"220005 ACAUA";3492,07
"220010 AGRICOLANDIA";3050,47
"220020 AGUA BRANCA";4673,93
"220025 ALAGOINHA DO PIAUI";3378,98
"220027 ALEGRETE DO PIAUI";3823,39
"220030 ALTO LONGA";3364,40
"220040 ALTOS";4109,73
"220045 ALVORADA DO GURGUEIA";4594,75
"220050 AMARANTE";3981,47
"220060 ANGICAL DO PIAUI";3799,70
"220070 ANISIO DE ABREU";3257,49
"220080 ANTONIO ALMEIDA";26341,14
"220090 AROAZES";4002,98
"220095 AROEIRAS DO ITAIM";3775,83
"220100 ARRAIAL";3587,83
"220105 ASSUNCAO DO PIAUI";3020,99
"220110 AVELINO LOPES";3280,94
"220115 BAIXA GRANDE DO RIBEIRO";14069,50
